id,condition,model,prediction,latency_ms,input_tokens,output_tokens,estimated_cost_usd,category,reference_answer,exact_match,token_f1,keyword_coverage,groundedness,hallucination_proxy,appropriate_refusal
q001,baseline,DemoModel-A,Queue,210,32,2,0.0003,computer_science,queue,1.0,1.0,0.5,,,1.0
q001,context_augmented,DemoModel-A,"The answer is queue, which uses FIFO ordering.",235,58,11,0.0005,computer_science,queue,0.0,0.2222,1.0,0.4,0.6,1.0
q001,prompt_variant,DemoModel-A,A queue.,205,28,3,0.0003,computer_science,queue,0.0,0.6667,0.5,,,1.0
q002,baseline,DemoModel-A,Overfitting is when a model memorizes training patterns and performs poorly on new data.,420,44,17,0.0009,machine_learning,Overfitting occurs when a model learns the training data too closely and generalizes poorly to unseen data.,0.0,0.5161,0.0,,,1.0
q002,context_augmented,DemoModel-A,"Overfitting means fitting the training data and noise too closely, causing worse generalization to unseen examples.",455,77,21,0.0011,machine_learning,Overfitting occurs when a model learns the training data too closely and generalizes poorly to unseen data.,0.0,0.5455,0.6667,0.4615,0.5385,1.0
q002,prompt_variant,DemoModel-A,It means the model fits training data too closely and does not generalize well.,438,41,16,0.0009,machine_learning,Overfitting occurs when a model learns the training data too closely and generalizes poorly to unseen data.,0.0,0.4516,0.6667,,,1.0
q003,baseline,DemoModel-A,Confidentiality.,180,31,2,0.0002,cybersecurity,confidentiality,1.0,1.0,1.0,,,1.0
q003,context_augmented,DemoModel-A,Confidentiality prevents unauthorized disclosure of information.,202,62,8,0.0004,cybersecurity,confidentiality,0.0,0.2857,1.0,0.8,0.2,1.0
q003,prompt_variant,DemoModel-A,Confidentiality.,175,29,2,0.0002,cybersecurity,confidentiality,1.0,1.0,1.0,,,1.0
q004,baseline,DemoModel-A,RAG combines retrieval with a generative model so it can answer using external information.,510,39,17,0.0010,llm,Retrieval-augmented generation combines information retrieval with language-model generation so responses can use external retrieved evidence.,0.0,0.4828,0.5,,,1.0
q004,context_augmented,DemoModel-A,Retrieval-augmented generation retrieves external information and passes it as context to a language model before generation.,530,74,22,0.0013,llm,Retrieval-augmented generation combines information retrieval with language-model generation so responses can use external retrieved evidence.,0.0,0.3226,1.0,0.9091,0.0909,1.0
q004,prompt_variant,DemoModel-A,RAG is retrieval plus generation using retrieved context.,500,37,11,0.0008,llm,Retrieval-augmented generation combines information retrieval with language-model generation so responses can use external retrieved evidence.,0.0,0.2609,0.75,,,1.0
q005,baseline,DemoModel-A,TRUST-X was created by the International AI Trust Institute.,390,36,12,0.0007,trustworthy_ai,The context does not provide this information.,0.0,0.125,0.0,,,0.0
q005,context_augmented,DemoModel-A,"The supplied context does not provide that information, so I cannot determine the organization.",410,66,18,0.0010,trustworthy_ai,The context does not provide this information.,0.0,0.5714,0.5,0.2222,0.7778,1.0
q005,prompt_variant,DemoModel-A,It cannot be determined from the provided context.,380,35,10,0.0006,trustworthy_ai,The context does not provide this information.,0.0,0.2667,0.0,,,1.0
q006,baseline,DemoModel-A,It usually means there is little or no linear relationship between the variables.,250,38,15,0.0007,statistics,It generally indicates little or no linear relationship between the variables.,0.0,0.75,0.6667,,,1.0
q006,context_augmented,DemoModel-A,"A value near zero indicates weak or no linear association, though a nonlinear relationship may still exist.",270,68,20,0.0010,statistics,It generally indicates little or no linear relationship between the variables.,0.0,0.3571,1.0,0.7692,0.2308,1.0
q006,prompt_variant,DemoModel-A,It suggests little or no linear association.,245,34,9,0.0005,statistics,It generally indicates little or no linear relationship between the variables.,0.0,0.5556,0.3333,,,1.0
q001,baseline,DemoModel-B,A queue follows FIFO.,170,30,5,0.0002,computer_science,queue,0.0,0.4,1.0,,,1.0
q001,context_augmented,DemoModel-B,Queue.,185,56,2,0.0003,computer_science,queue,1.0,1.0,0.5,1.0,0.0,1.0
q001,prompt_variant,DemoModel-B,Queue,165,27,1,0.0002,computer_science,queue,1.0,1.0,0.5,,,1.0
q002,baseline,DemoModel-B,Overfitting occurs when a model becomes too tailored to the training dataset and performs less well on unseen examples.,350,43,22,0.0008,machine_learning,Overfitting occurs when a model learns the training data too closely and generalizes poorly to unseen data.,0.0,0.6111,0.6667,,,1.0
q002,context_augmented,DemoModel-B,"It fits training patterns and noise too closely, reducing performance on unseen data.",365,75,16,0.0009,machine_learning,Overfitting occurs when a model learns the training data too closely and generalizes poorly to unseen data.,0.0,0.4,0.3333,0.7,0.3,1.0
